x
P37298
P38121
Q02642
P40564
P39993
P40312
P53734
Q04472
Q12234
P32864
P22517
Q08954
P06634
Q05040
Q01476
P38222
Q12355
P56508
P53075
Q04951
P43555
Q12184
P02406
P15646
P33322
Q12017
Q08444
P00427
P40513
P32486
Q03653
Q03768
P33399
P26321
Q06493
P33333
P34234
Q08193
P54964
P33202
P36164
P20433
P21304
P53829
P53091
P04147
P38883
P24279
P53334
P40496
P40341
P38333
P15424
P47001
Q12025
P20485
P25586
Q12256
P40164
Q3E731
P35191
P22147
P25040
Q3E792
P33338
P38822
P38351
Q06178
Q04773
P32367
P36775
Q04632
P53316
P54787
Q08202
P09938
Q12339
P28000
P38426
Q06144
P25368
P09620
P0C0T4
P04786
P46682
P04050
P39744
P53898
P37366
P02293
P02294
P14747
P36520
Q99216
P40422
Q08960
P42073
P19262
Q01329
P38837
Q08951
P53145
Q03640
P38144
P21560
Q06485
P40091
P38129
D6VTK4
P20448
P34221
P38779
P38915
P18852
P47006
P32916
P11972
P09232
Q07381
P25293
Q08004
P53189
Q07541
Q12443
P47069
Q06682
P39966
P38427
P38314
Q12160
P53616
P12962
P38323
P38738
P25555
P22216
Q03690
P20486
P37263
Q06440
P40075
P54003
P04037
P32342
Q12532
P32623
Q12072
P36152
P32500
Q04177
O13535
P39743
Q08979
Q07979
Q3E705
P25694
P49334
P42949
Q03880
P40010
P32597
P38523
P39724
P38912
P0C2J0
P38112
P53903
P06782
P53252
Q04947
P38985
P47019
Q06685
P38922
P23202
P32457
P06786
P36121
P20107
P53843
P53044
P32787
P29366
P38879
P38344
Q04711
Q12230
P32913
Q06168
P41920
P38789
P14682
P39952
P40548
P32832
Q06709
P12688
P40096
Q12035
P38630
Q08925
P34165
Q12019
Q03254
Q12287
P53313
P21373
P53172
Q04924
P12689
P10080
P27929
P11075
Q12349
Q02457
P11632
P29029
P39715
Q07657
Q12080
P37838
P32657
Q04410
Q12513
P40561
P14164
P38199
Q06704
Q07844
P38263
P53261
Q03533
P11633
Q99247
Q00684
P40484
P05319
P05453
Q02206
P28319
P38250
Q06263
P53927
P02400
P40161
P53163
P33441
Q3E842
P32588
Q04311
P53632
P43603
P53137
P39538
Q12500
P40007
P39730
P29295
P32892
Q03233
Q12284
P53112
Q08179
P46669
Q12373
P38198
Q02776
P13259
Q08287
P38817
P40991
Q12516
P00127
P53617
P80667
Q06106
P23291
P05318
Q12389
P32628
P40458
Q04217
P38968
P17891
P32447
P50106
P35197
P29478
P23292
P24276
P10622
P09064
P28707
P32489
Q12176
P34223
P31380
Q06672
P20435
P11792
P47018
Q3E764
P40485
P53064
P01120
Q06205
Q12000
Q3E7B7
P53251
Q12060
P12754
Q12514
P25623
P43609
P36100
P38623
P53301
P43612
Q06631
P38911
P32566
P49687
P53115
Q06511
P54858
Q92331
P27692
Q12296
Q03656
Q08920
P22579
O13297
P40070
Q07549
P14359
Q04603
Q06833
P48510
P36157
Q03559
Q07362
Q06146
Q08641
P53335
Q05942
Q03667
Q07623
Q03973
P50105
P0CX33
P40856
Q08422
P28007
P25644
P36053
P53743
P35817
Q07800
P35192
Q12159
P43582
P53309
P53883
Q03769
P0C2I8
Q05775
Q03964
P21538
P38202
Q08732
P17065
P32505
P25037
P39081
Q06505
Q06344
P40529
P25386
P49573
Q12127
Q05580
Q08208
P53551
P14922
P53741
P27654
P53278
Q03088
P47116
Q07807
P43586
P37304
P42846
Q12329
P27476
Q04031
P48837
Q12161
Q12114
Q07418
Q01560
Q12263
Q01477
Q03761
P06102
Q04347
Q03497
P17260
P25339
P39015
P38439
P25617
P07269
P40517
P40040
Q02199
P36024
Q04839
P34909
P40477
P32478
Q12518
Q99383
P38682
Q12191
Q03482
O13547
P41818
P11938
Q12124
P17106
Q04500
P36027
P41546
P36049
P50109
P36046
P15891
P25567
P34167
Q08412
P38080
P38996
P54000
P38041
P47068
P32790
P34761
P45978
P53885
P53297
P25441
P53550
P39936
Q12446
O94742
P38845
P11746
P34217
P34216
P39935
Q02455
P32909
P14907
Q02875
Q00816
P22943
Q05050
P32499
Q02629
P48415
Q02630
P32521
P36041
P39705
P25367
P47035
P43597
P35732
Q00402
P20676
P32583
P18899
Q01589
