A0A023PXA5	5.29
A0A023PXB0	15.45
A0A023PXB5	0.98
A0A023PXB9	0.82
A0A023PXC2	7.82
A0A023PXC7	1.39
A0A023PXD3	14.01
A0A023PXD5	3.67
A0A023PXD9	7.61
A0A023PXE5	0.85
A0A023PXE8	16.03
A0A023PXF2	2.83
A0A023PXF5	0
A0A023PXF8	4.08
A0A023PXG3	12.78
A0A023PXG7	1.98
A0A023PXH2	1.8
A0A023PXH4	1.37
A0A023PXH5	0
A0A023PXH6	0.78
A0A023PXH9	0
A0A023PXI0	3.1
A0A023PXI4	0
A0A023PXI5	0.53
A0A023PXI8	0.95
A0A023PXJ3	8.69
A0A023PXJ7	1.88
A0A023PXK2	5.72
A0A023PXK7	4.92
A0A023PXL1	1.52
A0A023PXL7	8.33
A0A023PXM2	1.23
A0A023PXM7	4.46
A0A023PXN3	4.72
A0A023PXN9	6
A0A023PXP4	4.54
A0A023PXP7	3.78
A0A023PXQ4	93.9
A0A023PXQ9	5.88
A0A023PYC6	8.65
A0A023PYD0	2.14
A0A023PYD3	7.2
A0A023PYD7	7.55
A0A023PYD9	2.25
A0A023PYE4	0.93
A0A023PYE9	9.28
A0A023PYF4	8.96
A0A023PYF7	2.38
A0A023PYG1	1.85
A0A023PYG5	4.62
A0A023PYH0	2.2
A0A023PYH5	0.8
A0A023PYH8	1.63
A0A023PYI2	8.18
A0A023PYI5	10.52
A0A023PYJ0	8.33
A0A023PYJ4	6.3
A0A023PYJ7	3.44
A0A023PYK2	2.7
A0A023PZ94	4.9
A0A023PZ99	12.93
A0A023PZA4	5.17
A0A023PZA9	11.3
A0A023PZB3	16.66
A0A023PZB8	1.78
A0A023PZC3	3.53
A0A023PZC7	1.06
A0A023PZD0	2.77
A0A023PZD5	6.53
A0A023PZE1	11.71
A0A023PZE2	4.58
A0A023PZE4	30.09
A0A023PZE6	2.88
A0A023PZE8	4.51
A0A023PZE9	3.25
A0A023PZF2	0.74
A0A023PZF3	7.59
A0A023PZF5	1.83
A0A023PZF9	0
A0A023PZG0	0.58
A0A023PZG4	6.54
A0A023PZG5	3.96
A0A023PZG9	1.65
A0A023PZH1	1.69
A0A023PZH4	0.99
A0A023PZH5	12.17
A0A023PZH9	1.3
A0A023PZI1	12.82
A0A023PZI4	4.16
A0A023PZI9	8.28
A0A023PZJ3	0
A0A023PZJ9	3.25
A0A023PZK4	1.57
A0A023PZK9	1.58
A0A023PZL2	0.8
A0A023PZL7	13.44
A0A023PZM3	1.45
A0A0B7P221	3.57
A0A0B7P3V8	29.98
A0A1D0CT74	1
A0A1D0CT83	1.81
A0A1D0CXR0	2.94
A2P2R3	11.06
A5Z2X5	9.72
D6VPM8	29.05
D6VTK4	30.62
D6W196	9.91
I2HB52	10.6
I2HB70	0.97
O13297	49.72
O13329	32.15
O13511	18.75
O13512	10.31
O13513	0.86
O13514	4.8
O13515	0.85
O13516	16.24
O13517	5
O13518	1.43
O13519	6.55
O13520	4.94
O13521	1.73
O13522	1.2
O13523	0.53
O13525	11.94
O13527	25.41
O13529	1.98
O13530	3.36
O13531	0.92
O13532	0
O13533	4.08
O13534	0.62
O13535	33.18
O13536	3.88
O13537	0.84
O13539	8.42
O13540	3.87
O13541	15.51
O13542	0
O13543	1.83
O13544	1.66
O13545	11.62
O13546	7.82
O13547	67.22
O13548	4.23
O13549	4.62
O13550	2.58
O13553	4.16
O13554	0.96
O13555	13.6
O13556	1.48
O13557	10.92
O13558	3.92
O13559	27.71
O13560	2
O13561	1.7
O13562	3.1
O13563	14.74
O13564	8.77
O13565	1.6
O13566	1.38
O13567	2.94
O13568	2.96
O13569	9.41
O13570	13.9
O13571	1.83
O13572	2.89
O13573	0.99
O13574	16.23
O13575	16.26
O13576	0
O13577	25.56
O13578	0.89
O13579	7.25
O13582	8.06
O13583	3.25
O13584	0
O13585	23.98
O13586	1.98
O13587	6
O13588	0.96
O14455	1
O14464	53.76
O14467	23.17
O14468	18.42
O42831	0.63
O43137	12.94
O60200	13.95
O74302	54.54
O74700	6.89
O75012	10.52
O94084	3.15
O94085	5.46
O94086	4.16
O94143	1.96
O94742	77.52
P00044	1.83
P00045	8.84
P00127	41.49
P00128	7.08
P00163	0.77
P00175	21.48
P00330	0
P00331	0
P00358	0
P00359	0
P00360	0
P00401	3.93
P00410	5.17
P00420	3.71
P00424	18.95
P00425	16.55
P00427	27.02
P00431	21.05
P00445	4.54
P00447	10.3
P00498	2.02
P00546	0.67
P00549	0.2
P00560	1.2
P00572	0.46
P00635	6.85
P00724	4.32
P00729	8.27
P00812	3
P00815	4.13
P00817	2.09
P00830	9.39
P00854	2.31
P00856	2.08
P00890	8.97
P00899	3.55
P00912	4.01
P00924	0.22
P00925	0.22
P00927	7.63
P00931	4.95
P00937	1.85
P00942	0.4
P00950	0.4
