"uniprot_id"	"HI_bin"
"9104"	"O00555"	"HI"
"9124"	"Q96RK0"	"HI"
"9151"	"P12107"	"HI"
"9198"	"Q9Y6Y1"	"HI"
"9255"	"Q9C0F0"	"HI"
"9259"	"P20908"	"HI"
"9268"	"Q8IWV2"	"HI"
"9273"	"Q9UQ52"	"HI"
"9279"	"Q9UHC6"	"HI"
"9341"	"P12830"	"HI"
"9342"	"P29965"	"HI"
"9468"	"O60488"	"HI"
"9535"	"P51793"	"HI"
"9581"	"P43320"	"HI"
"9586"	"Q96PZ7"	"HI"
"9616"	"P68032"	"HI"
"9665"	"Q14511"	"HI"
"9682"	"O76039"	"HI"
"9708"	"P20309"	"HI"
"9747"	"Q04656"	"HI"
"9871"	"O14647"	"HI"
"9902"	"P35222"	"HI"
"10007"	"Q92908"	"HI"
"10023"	"Q68CP9"	"HI"
"10038"	"P51587"	"HI"
"10150"	"P33897"	"HI"
"10168"	"Q6RI45"	"HI"
"10206"	"Q8WXI2"	"HI"
"10275"	"Q9Y243"	"HI"
"10397"	"Q8NFG4"	"HI"
"10409"	"Q5TGY3"	"HI"
"10425"	"Q96QS3"	"HI"
"10465"	"Q9HCK8"	"HI"
"10477"	"P02452"	"HI"
"10509"	"P23769"	"HI"
"10520"	"P30793"	"HI"
"10546"	"Q92481"	"HI"
"10574"	"Q92793"	"HI"
"10674"	"Q9NYF8"	"HI"
"10676"	"Q9H165"	"HI"
"10710"	"P46109"	"HI"
"10723"	"P04839"	"HI"
"10735"	"Q15700"	"HI"
"10841"	"Q14315"	"HI"
"10858"	"P37023"	"HI"
"10871"	"Q9NTI2"	"HI"
"10935"	"P11532"	"HI"
"10938"	"Q14689"	"HI"
"10959"	"P98174"	"HI"
"10993"	"Q06187"	"HI"
"11031"	"P02458"	"HI"
"11063"	"Q92796"	"HI"
"11217"	"Q99728"	"HI"
"11299"	"P06280"	"HI"
"11314"	"Q01484"	"HI"
"11394"	"Q9NR48"	"HI"
"11432"	"Q96JM3"	"HI"
"11456"	"Q13620"	"HI"
"11503"	"P25054"	"HI"
"11507"	"P56377"	"HI"
"11598"	"Q12926"	"HI"
"11664"	"Q9P2D1"	"HI"
"11746"	"P21397"	"HI"
"11753"	"O75129"	"HI"
"11885"	"Q99643"	"HI"
"11899"	"P49918"	"HI"
"11996"	"Q6W2J9"	"HI"
"11997"	"O95817"	"HI"
"12008"	"Q13936"	"HI"
"12063"	"P28340"	"HI"
"12064"	"Q02487"	"HI"
"12069"	"Q96AP0"	"HI"
"12070"	"Q9H161"	"HI"
"12095"	"Q9Y2T1"	"HI"
"12138"	"O96017"	"HI"
"12140"	"P46527"	"HI"
"12198"	"Q99502"	"HI"
"12269"	"P41229"	"HI"
"12307"	"O00571"	"HI"
"12322"	"Q13627"	"HI"
"12365"	"Q6Y7W6"	"HI"
"12510"	"Q16394"	"HI"
"12691"	"Q8WXX7"	"HI"
"12730"	"P55316"	"HI"
"12784"	"O95677"	"HI"
"12788"	"P00740"	"HI"
"12792"	"Q09472"	"HI"
"12825"	"P35453"	"HI"
"12937"	"Q9ULV1"	"HI"
"12948"	"P62873"	"HI"
"12960"	"P32189"	"HI"
"12972"	"P22304"	"HI"
"13031"	"P20930"	"HI"
"13033"	"P07954"	"HI"
"13035"	"P23771"	"HI"
"13134"	"Q9BX63"	"HI"
"13247"	"Q99081"	"HI"
"13320"	"Q9NQC7"	"HI"
"13539"	"O60832"	"HI"
"13570"	"P00451"	"HI"
"13585"	"P35555"	"HI"
"13612"	"Q8NEZ4"	"HI"
"13706"	"O14521"	"HI"
"13716"	"P24530"	"HI"
"13795"	"Q93063"	"HI"
"13809"	"O15520"	"HI"
"13827"	"Q92990"	"HI"
"13931"	"Q8IYB7"	"HI"
"13933"	"O00548"	"HI"
"13936"	"Q07864"	"HI"
"13967"	"P04114"	"HI"
"14090"	"Q9H2P0"	"HI"
"14134"	"P02461"	"HI"
"14198"	"Q8NFD5"	"HI"
"14199"	"P51816"	"HI"
"14233"	"Q92851"	"HI"
"14289"	"Q12946"	"HI"
"14295"	"Q9H334"	"HI"
"14360"	"P51795"	"HI"
"14375"	"Q9UPY3"	"HI"
"14532"	"O14497"	"HI"
"14544"	"Q8IXJ9"	"HI"
"14812"	"P11362"	"HI"
"14820"	"Q99958"	"HI"
"14990"	"Q5F1R6"	"HI"
"14999"	"O60469"	"HI"
"15014"	"Q8IYT4"	"HI"
"15038"	"P61244"	"HI"
"15047"	"O75030"	"HI"
"15053"	"P36021"	"HI"
"15157"	"P15502"	"HI"
"15167"	"P56524"	"HI"
"15185"	"Q9UQM7"	"HI"
"15266"	"O15409"	"HI"
"15305"	"Q06413"	"HI"
"15352"	"P78504"	"HI"
"15370"	"P51812"	"HI"
"15499"	"P15884"	"HI"
"15517"	"P13473"	"HI"
"15556"	"P50548"	"HI"
"15562"	"Q06787"	"HI"
"15588"	"P18507"	"HI"
"15598"	"P51654"	"HI"
"15613"	"P32004"	"HI"
"15627"	"Q8WYB5"	"HI"
"15651"	"Q71F56"	"HI"
"15659"	"Q9H9B1"	"HI"
"15677"	"P10070"	"HI"
"15725"	"P35240"	"HI"
"15760"	"Q12809"	"HI"
"15764"	"Q7Z3B3"	"HI"
"15784"	"Q6ZSM3"	"HI"
"15826"	"P11166"	"HI"
"15856"	"Q03164"	"HI"
"15888"	"P17813"	"HI"
"15994"	"P08069"	"HI"
"16125"	"Q9NZN1"	"HI"
"16170"	"Q9Y5S2"	"HI"
"16263"	"P14867"	"HI"
"16264"	"Q9NQX3"	"HI"
"16347"	"Q15811"	"HI"
"16428"	"Q8WXI9"	"HI"
"16478"	"Q14896"	"HI"
"16516"	"Q13177"	"HI"
"16519"	"O75914"	"HI"
"16534"	"Q9UPP1"	"HI"
"16566"	"P52732"	"HI"
"16649"	"P50219"	"HI"
"16717"	"P43034"	"HI"
"16743"	"Q13496"	"HI"
"16746"	"Q9Y2A7"	"HI"
"16747"	"Q8NFP9"	"HI"
"16752"	"P35580"	"HI"
"16806"	"Q12948"	"HI"
"16874"	"P51787"	"HI"
"16981"	"Q9UGL1"	"HI"
"16993"	"Q9Y2U8"	"HI"
"17026"	"O60663"	"HI"
"17070"	"Q9GZU5"	"HI"
"17100"	"O15550"	"HI"
"17183"	"Q13563"	"HI"
"17253"	"P00492"	"HI"
"17255"	"P35680"	"HI"
"17262"	"P61978"	"HI"
"17287"	"Q96T58"	"HI"
"17303"	"P60201"	"HI"
"17373"	"Q13253"	"HI"
"17416"	"Q13554"	"HI"
"17506"	"Q96Q04"	"HI"
"17658"	"Q6ZUT3"	"HI"
"17663"	"P58012"	"HI"
"17666"	"P43026"	"HI"
"17749"	"O14686"	"HI"
"17784"	"O75665"	"HI"
"17917"	"Q9NVH6"	"HI"
"17950"	"Q6ZU65"	"HI"
"17987"	"Q9UMR3"	"HI"
"18104"	"Q8WZ42"	"HI"
"18130"	"P08247"	"HI"
"18183"	"Q9Y458"	"HI"
"18192"	"P48165"	"HI"
"18212"	"Q9Y6K1"	"HI"
"18223"	"P21333"	"HI"
"18280"	"O15054"	"HI"
"18298"	"O95409"	"HI"
"18310"	"Q96PV0"	"HI"
"18342"	"Q15543"	"HI"
"18350"	"Q15583"	"HI"
"18352"	"Q16650"	"HI"
"18443"	"O75962"	"HI"
"18496"	"O60481"	"HI"
"18523"	"Q2M3X9"	"HI"
"18547"	"Q13207"	"HI"
"18622"	"P15692"	"HI"
"18632"	"O75695"	"HI"
"18670"	"Q13428"	"HI"
"18674"	"Q9UET6"	"HI"
"18679"	"P19429"	"HI"
"18683"	"O75204"	"HI"
"18829"	"O60315"	"HI"
"18974"	"Q9Y484"	"HI"
"19032"	"Q9UL68"	"HI"
"19101"	"P37287"	"HI"
"19125"	"P61313"	"HI"
"19164"	"Q9H1B4"	"HI"
"19198"	"P28360"	"HI"
"19239"	"P54278"	"HI"
"19281"	"Q9P267"	"HI"
"19284"	"O00255"	"HI"
"19318"	"Q9BXJ9"	"HI"
"19365"	"O60934"	"HI"
"19372"	"Q9Y6K9"	"HI"
"19409"	"Q92576"	"HI"
"19429"	"P04198"	"HI"
"19451"	"P51843"	"HI"
"19483"	"P26367"	"HI"
"19503"	"Q9BZI7"	"HI"
"19519"	"Q00604"	"HI"
"19545"	"P00480"	"HI"
"19556"	"Q9H3D4"	"HI"
"19594"	"P02545"	"HI"
"19779"	"Q9H900"	"HI"
"19831"	"P46937"	"HI"
"19851"	"Q9Y462"	"HI"
"19925"	"P40337"	"HI"
"20228"	"Q92560"	"HI"
"20272"	"P29400"	"HI"
"20278"	"P42658"	"HI"
"20319"	"Q14126"	"HI"
"20331"	"P31150"	"HI"
"20356"	"P98172"	"HI"
"43"	"Q9H2M9"	"nHI"
"80"	"Q9UNP4"	"nHI"
"109"	"Q8NHS3"	"nHI"
"114"	"O75147"	"nHI"
"115"	"Q86WC4"	"nHI"
"131"	"Q8TEQ8"	"nHI"
"140"	"P55809"	"nHI"
"151"	"P55000"	"nHI"
"154"	"Q9BQB4"	"nHI"
"159"	"Q9H4F8"	"nHI"
"169"	"Q96JX3"	"nHI"
"203"	"Q9C040"	"nHI"
"246"	"Q9Y267"	"nHI"
"257"	"Q15437"	"nHI"
"266"	"Q9HD40"	"nHI"
"295"	"P46977"	"nHI"
"318"	"P50897"	"nHI"
"340"	"P51157"	"nHI"
"405"	"Q9Y244"	"nHI"
"451"	"P35237"	"nHI"
"466"	"Q9H3U7"	"nHI"
"522"	"Q9UQ90"	"nHI"
"558"	"Q9UP52"	"nHI"
"620"	"Q8IYW5"	"nHI"
"654"	"Q15772"	"nHI"
"661"	"Q9BUR4"	"nHI"
"694"	"O00300"	"nHI"
"722"	"B1AK53"	"nHI"
"728"	"P19447"	"nHI"
"738"	"Q2WGN9"	"nHI"
"741"	"P51570"	"nHI"
"747"	"P23378"	"nHI"
"769"	"P26006"	"nHI"
"838"	"Q9NTN3"	"nHI"
"886"	"P09758"	"nHI"
"1013"	"O15305"	"nHI"
"1036"	"Q15813"	"nHI"
"1087"	"Q9Y2V3"	"nHI"
"1091"	"Q9H173"	"nHI"
"1125"	"Q2MV58"	"nHI"
"1137"	"Q8IU68"	"nHI"
"1147"	"Q7Z412"	"nHI"
"1313"	"Q9HC21"	"nHI"
"1323"	"Q8IWV7"	"nHI"
"1347"	"Q9NRA2"	"nHI"
"1359"	"Q7Z6J9"	"nHI"
"1377"	"P53597"	"nHI"
"1379"	"Q7RTU9"	"nHI"
"1426"	"Q02127"	"nHI"
"1553"	"Q6PI48"	"nHI"
"1571"	"P78364"	"nHI"
"1582"	"O75792"	"nHI"
"1690"	"Q7Z4L5"	"nHI"
"1695"	"Q32P28"	"nHI"
"1697"	"Q8WYR4"	"nHI"
"1712"	"Q9NZJ4"	"nHI"
"1715"	"P31213"	"nHI"
"1722"	"A6NFY7"	"nHI"
"1740"	"P38935"	"nHI"
"1799"	"Q9NQH7"	"nHI"
"1806"	"A6NGG8"	"nHI"
"1819"	"P12955"	"nHI"
"1855"	"P14410"	"nHI"
"1868"	"O75443"	"nHI"
"1890"	"Q9UIG4"	"nHI"
"1929"	"P21549"	"nHI"
"1991"	"P10745"	"nHI"
"2032"	"O95721"	"nHI"
"2064"	"Q92597"	"nHI"
"2065"	"P36955"	"nHI"
"2114"	"Q5JTZ9"	"nHI"
"2124"	"Q6P1X5"	"nHI"
"2142"	"Q17RP2"	"nHI"
"2217"	"Q6PGP7"	"nHI"
"2253"	"Q9UKY4"	"nHI"
"2259"	"O60260"	"nHI"
"2276"	"P55895"	"nHI"
"2288"	"Q9Y5Y6"	"nHI"
"2303"	"Q96RL7"	"nHI"
"2317"	"O43933"	"nHI"
"2349"	"O75558"	"nHI"
"2350"	"Q96GP6"	"nHI"
"2370"	"O43548"	"nHI"
"2394"	"Q2YD98"	"nHI"
"2400"	"Q587J8"	"nHI"
"2447"	"Q13621"	"nHI"
"2470"	"P78330"	"nHI"
"2544"	"O75635"	"nHI"
"2567"	"O75360"	"nHI"
"2576"	"Q8HWS3"	"nHI"
"2597"	"Q01831"	"nHI"
"2607"	"A2RRP1"	"nHI"
"2611"	"Q12965"	"nHI"
"2661"	"Q9NQ40"	"nHI"
"2676"	"Q9NZD8"	"nHI"
"2684"	"P51688"	"nHI"
"2730"	"Q2I0M5"	"nHI"
"2749"	"P55157"	"nHI"
"2852"	"P14210"	"nHI"
"2907"	"P55017"	"nHI"
"2921"	"Q01959"	"nHI"
"2925"	"Q9Y617"	"nHI"
"2973"	"Q96FM1"	"nHI"
"2979"	"Q9GZN7"	"nHI"
"2991"	"Q9UDX3"	"nHI"
"3052"	"Q5TD94"	"nHI"
"3067"	"A6NNN8"	"nHI"
"3083"	"Q9Y253"	"nHI"
"3105"	"P57078"	"nHI"
"3122"	"Q86YT5"	"nHI"
"3187"	"Q96KN7"	"nHI"
"3198"	"Q9P0J1"	"nHI"
"3261"	"Q3ZCN5"	"nHI"
"3341"	"Q9Y2Z2"	"nHI"
"3370"	"P56589"	"nHI"
"3391"	"Q9UBQ7"	"nHI"
"3398"	"Q96MP8"	"nHI"
"3422"	"Q86XA0"	"nHI"
"3472"	"P15863"	"nHI"
"3497"	"Q2M2I5"	"nHI"
"3506"	"P05107"	"nHI"
"3634"	"O60938"	"nHI"
"3786"	"Q96FT9"	"nHI"
"3789"	"Q9NRR6"	"nHI"
"3812"	"Q13753"	"nHI"
"3814"	"P42704"	"nHI"
"3817"	"P38571"	"nHI"
"3849"	"Q8WVP7"	"nHI"
"3851"	"Q9UDY8"	"nHI"
"3887"	"Q8NEM0"	"nHI"
"3890"	"Q9NPJ1"	"nHI"
"3914"	"P07202"	"nHI"
"3918"	"P25391"	"nHI"
"3930"	"Q99707"	"nHI"
"3976"	"P11182"	"nHI"
"4008"	"Q8IVH4"	"nHI"
"4039"	"P05121"	"nHI"
"4048"	"P52945"	"nHI"
"4082"	"O75161"	"nHI"
"4167"	"Q5TEU4"	"nHI"
"4207"	"Q15468"	"nHI"
"4214"	"Q9BV36"	"nHI"
"4230"	"Q9Y5G5"	"nHI"
"4238"	"O15118"	"nHI"
"4298"	"O00469"	"nHI"
"4321"	"Q9UBK7"	"nHI"
"4327"	"Q9NWS8"	"nHI"
"4387"	"Q8WYP3"	"nHI"
"4453"	"Q9Y4U1"	"nHI"
"4532"	"O43181"	"nHI"
"4602"	"Q9UBK8"	"nHI"
"4645"	"Q4J6C6"	"nHI"
"4658"	"Q15042"	"nHI"
"4678"	"Q9H0A6"	"nHI"
"4695"	"Q96MS0"	"nHI"
"4782"	"P34981"	"nHI"
"4801"	"Q14191"	"nHI"
"4805"	"Q9HBG4"	"nHI"
"4831"	"Q8NBK3"	"nHI"
"4890"	"O00755"	"nHI"
"4893"	"P23025"	"nHI"
"5086"	"P47989"	"nHI"
"5188"	"P78367"	"nHI"
"5214"	"Q96GX1"	"nHI"
"5228"	"Q8WVJ9"	"nHI"
"5235"	"Q7Z3V4"	"nHI"
"5246"	"Q9P202"	"nHI"
"5314"	"Q86Y38"	"nHI"
"5374"	"Q3MJ13"	"nHI"
"5394"	"Q9UM01"	"nHI"
"5433"	"Q9H091"	"nHI"
"5456"	"Q9NPD8"	"nHI"
"5469"	"Q495M9"	"nHI"
"5497"	"Q13488"	"nHI"
"5528"	"Q8TAP9"	"nHI"
"5539"	"O75381"	"nHI"
"5542"	"P15428"	"nHI"
"5548"	"Q9NQ66"	"nHI"
"5554"	"Q03393"	"nHI"
"5559"	"P51159"	"nHI"
"5588"	"P24043"	"nHI"
"5613"	"O95436"	"nHI"
"5643"	"Q7Z7B1"	"nHI"
"5652"	"Q86UK5"	"nHI"
"5695"	"Q04671"	"nHI"
"5701"	"P13716"	"nHI"
"5708"	"Q92902"	"nHI"
"5742"	"Q9Y5Y5"	"nHI"
"5744"	"Q9UMZ3"	"nHI"
"5763"	"O43929"	"nHI"
"5765"	"P32322"	"nHI"
"5782"	"O60331"	"nHI"
"5783"	"P00491"	"nHI"
"5847"	"Q00LT1"	"nHI"
"5862"	"O96011"	"nHI"
"5913"	"O15120"	"nHI"
"5940"	"Q8NES3"	"nHI"
"5965"	"Q13614"	"nHI"
"6026"	"P51160"	"nHI"
"6029"	"P49585"	"nHI"
"6030"	"Q8NBP7"	"nHI"
"6047"	"Q92626"	"nHI"
"6060"	"P48357"	"nHI"
"6148"	"P57727"	"nHI"
"6211"	"Q13049"	"nHI"
"6234"	"Q86X67"	"nHI"
"6242"	"O14832"	"nHI"
"6244"	"Q96QU1"	"nHI"
"6254"	"P98160"	"nHI"
"6276"	"Q8N205"	"nHI"
"6304"	"Q8TAM2"	"nHI"
"6311"	"Q9NZC7"	"nHI"
"6324"	"O43167"	"nHI"
"6383"	"P36871"	"nHI"
"6449"	"P13686"	"nHI"
"6454"	"Q92954"	"nHI"
"6465"	"P15918"	"nHI"
"6501"	"Q15650"	"nHI"
"6548"	"Q15928"	"nHI"
"6593"	"Q9H6L2"	"nHI"
"6656"	"P40225"	"nHI"
"6693"	"Q9P2L0"	"nHI"
"6758"	"Q8WU66"	"nHI"
"6804"	"Q9HC10"	"nHI"
"6975"	"P23526"	"nHI"
"7056"	"Q5K651"	"nHI"
"7057"	"P13866"	"nHI"
"7090"	"O95363"	"nHI"
"7091"	"Q5JPH6"	"nHI"
"7096"	"P23284"	"nHI"
"7142"	"Q13326"	"nHI"
"7179"	"P35241"	"nHI"
"7197"	"Q86VV8"	"nHI"
"7219"	"Q8NCE0"	"nHI"
"7411"	"Q86SQ7"	"nHI"
"7504"	"Q9P0W8"	"nHI"
"7505"	"A7XYQ1"	"nHI"
"7525"	"P51649"	"nHI"
"7528"	"Q15526"	"nHI"
"7538"	"P00439"	"nHI"
"7539"	"P15735"	"nHI"
"7547"	"P30566"	"nHI"
"7593"	"Q96N87"	"nHI"
"7655"	"O95427"	"nHI"
"7679"	"Q8TF17"	"nHI"
"7694"	"Q07837"	"nHI"
"7758"	"P55789"	"nHI"
"7776"	"Q9Y5C1"	"nHI"
"7778"	"O95500"	"nHI"
"7784"	"Q9UFE4"	"nHI"
"7789"	"Q96NL8"	"nHI"
"7833"	"Q9NZJ5"	"nHI"
"7837"	"Q8NF50"	"nHI"
"7881"	"Q9BXJ7"	"nHI"
