"uniprot_id"	"HI_bin"
"5178"	"Q969V5"	"missing"
"5179"	"Q9Y5H5"	"missing"
"5180"	"Q8NEY1"	"missing"
"5181"	"Q8WX94"	"missing"
"5182"	"Q3BBV2"	"missing"
"5183"	"P13349"	"missing"
"5184"	"P22033"	"missing"
"5185"	"Q9BSH3"	"missing"
"5186"	"Q9H2Z4"	"missing"
"5187"	"O76050"	"missing"
"5189"	"Q9NQX5"	"missing"
"5190"	"Q86WI3"	"missing"
"5191"	"Q8WWR8"	"missing"
"5192"	"Q7L592"	"missing"
"5193"	"Q5VXU1"	"missing"
"5194"	"Q92832"	"missing"
"5195"	"Q12986"	"missing"
"5197"	"Q9ULX3"	"missing"
"5198"	"Q8WTW4"	"missing"
"5199"	"Q5VVY1"	"missing"
"5200"	"P35658"	"missing"
"5201"	"Q9GZY6"	"missing"
"5202"	"P85299"	"missing"
"5203"	"Q9ULB1"	"missing"
"5204"	"O43847"	"missing"
"5205"	"Q8NGE2"	"missing"
"5206"	"Q9H2C5"	"missing"
"5207"	"Q9H0X9"	"missing"
"5208"	"Q5VZ03"	"missing"
"5209"	"Q8N323"	"missing"
"5210"	"Q9GZU2"	"missing"
"5211"	"Q99959"	"missing"
"5212"	"P48147"	"missing"
"5213"	"P81277"	"missing"
"5215"	"Q5HYJ1"	"missing"
"5216"	"Q9NS62"	"missing"
"5217"	"Q9NVV9"	"missing"
"5219"	"O95988"	"missing"
"5221"	"Q969P6"	"missing"
"5222"	"P17987"	"missing"
"5223"	"Q9UI30"	"missing"
"5224"	"Q6P7N7"	"missing"
"5225"	"O14817"	"missing"
"5226"	"Q5TAA0"	"missing"
"5227"	"O14907"	"missing"
"5229"	"Q8IWF7"	"missing"
"5230"	"O15240"	"missing"
"5231"	"O95859"	"missing"
"5232"	"Q9H1C4"	"missing"
"5233"	"Q712K3"	"missing"
"5234"	"Q8N427"	"missing"
"5236"	"Q14CS0"	"missing"
"5237"	"Q6UXI7"	"missing"
"5238"	"Q52LC2"	"missing"
"5239"	"Q9Y3A2"	"missing"
"5240"	"O95183"	"missing"
"5241"	"Q8N8Y2"	"missing"
"5242"	"Q2TBF2"	"missing"
"5243"	"Q9ULE0"	"missing"
"5244"	"Q93098"	"missing"
"5245"	"Q9C0E2"	"missing"
"5248"	"Q9Y3S1"	"missing"
"5249"	"Q64LD2"	"missing"
"5250"	"Q9BV38"	"missing"
"5251"	"O00534"	"missing"
"5252"	"P54219"	"missing"
"5253"	"O15498"	"missing"
"5254"	"Q8NEK5"	"missing"
"5255"	"Q8N141"	"missing"
"5256"	"Q96MP5"	"missing"
"5257"	"Q9Y2H8"	"missing"
"5258"	"Q8IVC4"	"missing"
"5259"	"Q15431"	"missing"
"5260"	"Q96SF7"	"missing"
"5261"	"A6NM43"	"missing"
"5262"	"P36402"	"missing"
"5263"	"P16035"	"missing"
"5264"	"P52655"	"missing"
"5265"	"Q9BT92"	"missing"
"5266"	"Q8IZW8"	"missing"
"5267"	"P47974"	"missing"
"5268"	"P82094"	"missing"
"5269"	"O15164"	"missing"
"5270"	"Q92547"	"missing"
"5271"	"P20396"	"missing"
"5272"	"O75069"	"missing"
"5273"	"O95361"	"missing"
"5274"	"Q9NS68"	"missing"
"5275"	"Q14106"	"missing"
"5276"	"P51580"	"missing"
"5277"	"Q15629"	"missing"
"5278"	"Q8IY95"	"missing"
"5279"	"C9JQI7"	"missing"
"5280"	"O94900"	"missing"
"5281"	"Q6UWW9"	"missing"
"5282"	"Q03169"	"missing"
"5283"	"Q9Y6L7"	"missing"
"5284"	"Q9UK28"	"missing"
"5285"	"Q96EY4"	"missing"
"5286"	"Q6ZP80"	"missing"
"5287"	"A0A0B4J244"	"missing"
"5288"	"A0A0B4J2E0"	"missing"
"5289"	"Q9UBN4"	"missing"
"5290"	"A0A0K0K1C0"	"missing"
"5291"	"Q9NRR2"	"missing"
"5292"	"Q9UI38"	"missing"
"5293"	"Q96PP4"	"missing"
"5294"	"Q5VVX9"	"missing"
"5295"	"Q99990"	"missing"
"5296"	"P21796"	"missing"
"5297"	"Q13336"	"missing"
"5298"	"O94967"	"missing"
"5299"	"Q9Y2W2"	"missing"
"5300"	"Q9GZL7"	"missing"
"5301"	"Q8N377"	"missing"
"5302"	"P0CG23"	"missing"
"5303"	"Q86YA3"	"missing"
"5304"	"P21754"	"missing"
"5305"	"Q8N184"	"missing"
"5306"	"Q3ZCX4"	"missing"
"5307"	"Q86UQ0"	"missing"
"5308"	"Q96S82"	"missing"
"5309"	"P0DN76"	"missing"
"5310"	"Q9UKP6"	"missing"
"5311"	"Q5W0Q7"	"missing"
"5312"	"Q5T230"	"missing"
"5313"	"P07911"	"missing"
"5315"	"Q96AJ9"	"missing"
"5316"	"Q709C8"	"missing"
"5317"	"Q9Y6I7"	"missing"
"5318"	"O43592"	"missing"
"5319"	"Q96IQ7"	"missing"
"5320"	"Q8IV63"	"missing"
"5321"	"Q8TBZ3"	"missing"
"5322"	"Q5JTN6"	"missing"
"5323"	"O96014"	"missing"
"5324"	"Q9NRH1"	"missing"
"5325"	"Q8N7P7"	"missing"
"5326"	"P17030"	"missing"
"5327"	"P51523"	"missing"
"5328"	"Q9HCK0"	"missing"
"5329"	"Q96PM9"	"missing"
"5330"	"Q05481"	"missing"
"5331"	"Q9C0D7"	"missing"
"5332"	"Q6PF04"	"missing"
"5333"	"Q96SK3"	"missing"
"5335"	"P0CG00"	"missing"
"5336"	"A6NFI3"	"missing"
"5337"	"Q6ZNH5"	"missing"
"5338"	"Q6P2D0"	"missing"
"5339"	"Q9P255"	"missing"
"5340"	"Q6S9Z5"	"missing"
"5341"	"Q969W8"	"missing"
"5342"	"A8MUK1"	"missing"
"5343"	"Q6PHR2"	"missing"
"5344"	"Q9H320"	"missing"
"5345"	"Q9NY84"	"missing"
"5346"	"P56704"	"missing"
"5347"	"Q9H0D6"	"missing"
"5348"	"O75436"	"missing"
"5350"	"O14609"	"missing"
"5351"	"A4D1P6"	"missing"
"5352"	"Q5GH73"	"missing"
"5353"	"Q9HAV4"	"missing"
"5354"	"Q8WTP9"	"missing"
"5355"	"Q86XK7"	"missing"
"5356"	"A8K0Z3"	"missing"
"5357"	"Q9Y2T7"	"missing"
"5358"	"Q6ZSV7"	"missing"
"5359"	"A6NC05"	"missing"
"5360"	"Q969M3"	"missing"
"5361"	"Q9UHU1"	"missing"
"5362"	"Q6ZVH6"	"missing"
"5363"	"Q16560"	"missing"
"5364"	"P40222"	"missing"
"5365"	"Q16763"	"missing"
"5366"	"Q7L8A9"	"missing"
"5367"	"Q8NBZ7"	"missing"
"5368"	"Q9BXE9"	"missing"
"5369"	"Q9NYS7"	"missing"
"5370"	"P55060"	"missing"
"5371"	"Q702N8"	"missing"
"5372"	"Q5MNZ9"	"missing"
"5373"	"B2RUY7"	"missing"
"5375"	"Q9NQW7"	"missing"
"5376"	"P55808"	"missing"
"5377"	"Q9UPY5"	"missing"
"5378"	"Q3ZAQ7"	"missing"
"5379"	"Q8WWM1"	"missing"
"5380"	"Q6P2C0"	"missing"
"5381"	"Q9HC57"	"missing"
"5382"	"Q8TAF3"	"missing"
"5383"	"O00401"	"missing"
"5384"	"Q9Y6W5"	"missing"
"5385"	"O75554"	"missing"
"5386"	"Q8NI36"	"missing"
"5387"	"Q6ZQT0"	"missing"
"5388"	"Q8TCW7"	"missing"
"5389"	"Q8NHE4"	"missing"
"5390"	"A8MV65"	"missing"
"5391"	"Q5SQQ9"	"missing"
"5392"	"Q96JG6"	"missing"
"5393"	"Q9UBH6"	"missing"
"5395"	"Q9HAA7"	"missing"
"5396"	"Q499Y3"	"missing"
"5397"	"Q8N8F6"	"missing"
"5398"	"Q6ZSN1"	"missing"
"5399"	"Q6ZTI0"	"missing"
"5400"	"Q9Y330"	"missing"
"5401"	"P0CJ78"	"missing"
"5402"	"Q9H869"	"missing"
"5403"	"Q8NAP3"	"missing"
"5404"	"Q8NEW0"	"missing"
"5405"	"Q5TFG8"	"missing"
"5406"	"Q9BTK2"	"missing"
"5407"	"Q96GY0"	"missing"
"5408"	"Q14966"	"missing"
"5409"	"Q9Y3M9"	"missing"
"5410"	"Q9P217"	"missing"
"5411"	"Q8N6M9"	"missing"
"5412"	"Q9HCL3"	"missing"
"5413"	"Q8N8C0"	"missing"
"5414"	"Q9NU63"	"missing"
"5415"	"A7E2V4"	"missing"
"5416"	"Q9H987"	"missing"
"5417"	"Q9H489"	"missing"
"5418"	"Q86VQ6"	"missing"
"5419"	"Q96AE7"	"missing"
"5420"	"Q9UHD9"	"missing"
"5421"	"P11684"	"missing"
"5422"	"P63120"	"missing"
"5423"	"Q1RN00"	"missing"
"5424"	"Q0P140"	"missing"
"5425"	"A6NHJ4"	"missing"
"5427"	"Q9H8X9"	"missing"
"5429"	"Q6ZMS4"	"missing"
"5430"	"Q6ZN79"	"missing"
"5431"	"Q7Z570"	"missing"
"5432"	"Q96H79"	"missing"
"5434"	"Q6ZNG1"	"missing"
"5435"	"Q8IZM8"	"missing"
"5436"	"Q5EBL2"	"missing"
"5437"	"Q96EF9"	"missing"
"5438"	"P52742"	"missing"
"5439"	"Q6ZPA2"	"missing"
"5440"	"Q8IW36"	"missing"
"5441"	"Q8NE65"	"missing"
"5442"	"Q53GI3"	"missing"
"5443"	"Q86UP3"	"missing"
"5444"	"Q8TBC5"	"missing"
"5445"	"Q96HQ0"	"missing"
"5446"	"Q8TB69"	"missing"
"5447"	"Q8TF32"	"missing"
"5449"	"Q96K83"	"missing"
"5450"	"Q92618"	"missing"
"5451"	"Q9H707"	"missing"
"5452"	"Q76KX8"	"missing"
"5453"	"Q96SQ5"	"missing"
"5454"	"A6NP11"	"missing"
"5455"	"Q14694"	"missing"
"5457"	"O60656"	"missing"
"5458"	"Q9Y5T5"	"missing"
"5459"	"P35504"	"missing"
"5460"	"A0A0A6YYG3"	"missing"
"5461"	"Q96RP3"	"missing"
"5462"	"P55851"	"missing"
"5463"	"Q969E3"	"missing"
"5464"	"P25874"	"missing"
"5465"	"Q8NFA0"	"missing"
"5466"	"P63313"	"missing"
"5467"	"P09327"	"missing"
"5468"	"P19320"	"missing"
"5470"	"P51809"	"missing"
"5471"	"P19544"	"missing"
"5472"	"Q86TI4"	"missing"
"5473"	"Q6UX68"	"missing"
"5474"	"Q2NL98"	"missing"
"5475"	"O75351"	"missing"
"5476"	"Q6VEQ5"	"missing"
"5477"	"Q6UWF5"	"missing"
"5478"	"Q8NFD4"	"missing"
"5479"	"Q8IWY8"	"missing"
"5480"	"Q0VGE8"	"missing"
"5481"	"Q96ND8"	"missing"
"5482"	"Q5MCW4"	"missing"
"5483"	"O95155"	"missing"
"5484"	"Q9BRT2"	"missing"
"5485"	"P36543"	"missing"
"5486"	"Q8TCY9"	"missing"
"5487"	"P15498"	"missing"
"5488"	"O95498"	"missing"
"5489"	"Q96DN2"	"missing"
"5490"	"A2RUG3"	"missing"
"5491"	"Q9GZT5"	"missing"
"5492"	"Q06250"	"missing"
"5493"	"Q96GT9"	"missing"
"5494"	"Q9H8Y1"	"missing"
"5495"	"Q5GH76"	"missing"
"5496"	"Q9Y279"	"missing"
"5498"	"Q9BQY6"	"missing"
"5499"	"Q7Z5K2"	"missing"
"5500"	"Q96NZ8"	"missing"
"5501"	"Q2M389"	"missing"
"5502"	"Q9UPY6"	"missing"
"5503"	"Q96G27"	"missing"
"5504"	"Q9BWQ6"	"missing"
"5505"	"Q6ZV60"	"missing"
"5506"	"P0CJ79"	"missing"
"5507"	"Q9H5U6"	"missing"
"5508"	"Q9UDW3"	"missing"
"5509"	"Q8WYQ9"	"missing"
"5510"	"Q96JF6"	"missing"
"5511"	"Q9HCG1"	"missing"
"5512"	"Q8N9L1"	"missing"
"5513"	"P98182"	"missing"
"5514"	"Q2M3W8"	"missing"
"5515"	"Q8TAQ5"	"missing"
"5516"	"O43361"	"missing"
"5517"	"Q5FWF6"	"missing"
"5518"	"O75541"	"missing"
"5519"	"Q14584"	"missing"
"5520"	"P61236"	"missing"
"5521"	"Q8NB15"	"missing"
"5522"	"Q8IXI1"	"missing"
"5523"	"Q13503"	"missing"
"5524"	"Q9BRT3"	"missing"
"5525"	"Q16659"	"missing"
"5526"	"O95563"	"missing"
"5527"	"O75439"	"missing"
"5529"	"Q3SYC2"	"missing"
"5530"	"O60882"	"missing"
"5531"	"Q9H306"	"missing"
"5532"	"Q8NGK5"	"missing"
"5533"	"Q8NGC0"	"missing"
"5534"	"Q86W56"	"missing"
"5535"	"Q99447"	"missing"
"5536"	"Q8N165"	"missing"
"5537"	"P30101"	"missing"
"5538"	"Q9UN71"	"missing"
"5540"	"Q96A73"	"missing"
"5541"	"Q9UBL9"	"missing"
"5543"	"Q96FE7"	"missing"
"5544"	"Q86YI8"	"missing"
"5545"	"P34995"	"missing"
"5547"	"Q99943"	"missing"
"5549"	"Q5SWL7"	"missing"
"5550"	"A0A0G2JMD5"	"missing"
"5551"	"O14684"	"missing"
"5552"	"Q15397"	"missing"
"5553"	"P18031"	"missing"
"5555"	"P23470"	"missing"
"5556"	"Q8N0V3"	"missing"
"5557"	"P0DJD4"	"missing"
"5558"	"Q5HYI8"	"missing"
"5560"	"Q9NYW8"	"missing"
"5561"	"P50749"	"missing"
"5562"	"Q8NHQ8"	"missing"
"5563"	"Q6NSI4"	"missing"
"5564"	"Q9Y620"	"missing"
"5565"	"Q02833"	"missing"
"5566"	"P55042"	"missing"
"5567"	"O60896"	"missing"
"5568"	"Q7Z5L2"	"missing"
"5569"	"Q9UQ26"	"missing"
"5570"	"Q8NE09"	"missing"
"5572"	"Q9H4X1"	"missing"
"5573"	"Q02094"	"missing"
"5574"	"Q6WKZ4"	"missing"
"5575"	"Q9UGC7"	"missing"
"5576"	"Q86YS3"	"missing"
"5577"	"P04090"	"missing"
"5578"	"Q3KRB8"	"missing"
"5579"	"O75628"	"missing"
"5580"	"Q9P260"	"missing"
"5581"	"O75787"	"missing"
"5582"	"Q9HB40"	"missing"
"5583"	"Q9UIH9"	"missing"
"5584"	"P17658"	"missing"
"5585"	"O95251"	"missing"
"5586"	"P31321"	"missing"
"5589"	"Q71F78"	"missing"
"5590"	"Q5T754"	"missing"
"5591"	"Q5T7P3"	"missing"
"5592"	"A6NIV6"	"missing"
"5593"	"A6BM72"	"missing"
"5594"	"O15438"	"missing"
"5595"	"Q5T2T1"	"missing"
"5596"	"Q15014"	"missing"
"5597"	"Q9NV56"	"missing"
"5598"	"Q9HC36"	"missing"
"5599"	"P56278"	"missing"
"5600"	"Q9BYG7"	"missing"
"5601"	"Q9GZM8"	"missing"
"5602"	"P49321"	"missing"
"5603"	"Q9UBB6"	"missing"
"5604"	"P35579"	"missing"
"5605"	"A0A1B0GUC4"	"missing"
"5606"	"Q9UHC9"	"missing"
"5607"	"P48681"	"missing"
"5608"	"P26717"	"missing"
"5609"	"Q8N5F7"	"missing"
"5610"	"Q8N8D7"	"missing"
"5611"	"O60524"	"missing"
"5612"	"O43920"	"missing"
"5614"	"Q969G9"	"missing"
"5615"	"Q9Y239"	"missing"
"5617"	"Q5VT03"	"missing"
"5618"	"Q8WV22"	"missing"
"5619"	"P19338"	"missing"
"5620"	"P56975"	"missing"
"5621"	"Q8NGA8"	"missing"
"5622"	"Q86UD1"	"missing"
"5623"	"Q8NH70"	"missing"
"5624"	"A6NDH6"	"missing"
"5625"	"P0C7T3"	"missing"
"5626"	"Q96SU4"	"missing"
"5627"	"Q7RTU3"	"missing"
"5628"	"Q9H346"	"missing"
"5629"	"Q9BUL8"	"missing"
"5630"	"Q16822"	"missing"
"5631"	"Q9Y5F3"	"missing"
"5632"	"P14920"	"missing"
"5633"	"P80108"	"missing"
"5634"	"Q96HM7"	"missing"
"5635"	"P43119"	"missing"
"5636"	"Q5VY43"	"missing"
"5637"	"Q99755"	"missing"
"5638"	"Q99623"	"missing"
"5639"	"Q12972"	"missing"
"5640"	"C9JH25"	"missing"
"5641"	"A6NIE9"	"missing"
"5642"	"Q9UBT6"	"missing"
"5644"	"O00222"	"missing"
"5645"	"Q969I3"	"missing"
"5646"	"Q4G148"	"missing"
"5647"	"Q96T54"	"missing"
"5648"	"Q04759"	"missing"
"5649"	"Q14533"	"missing"
"5650"	"P06315"	"missing"
"5651"	"A6NM11"	"missing"
"5653"	"Q9H008"	"missing"
"5654"	"Q9NQ69"	"missing"
"5655"	"Q0VAA2"	"missing"
"5656"	"O15165"	"missing"
"5657"	"Q9BV79"	"missing"
"5658"	"Q96JK9"	"missing"
"5659"	"P43357"	"missing"
"5660"	"Q9BQG0"	"missing"
"5661"	"O60675"	"missing"
"5662"	"P43363"	"missing"
"5663"	"Q4ZIN3"	"missing"
"5664"	"Q9NX47"	"missing"
"5665"	"Q9Y4C4"	"missing"
"5666"	"Q5TF39"	"missing"
"5667"	"O95568"	"missing"
"5668"	"Q96FF7"	"missing"
"5669"	"Q02080"	"missing"
"5670"	"Q9NX70"	"missing"
"5671"	"Q9NWA0"	"missing"
"5672"	"Q96C03"	"missing"
"5673"	"Q9UHC7"	"missing"
"5674"	"Q99542"	"missing"
"5675"	"P08254"	"missing"
"5676"	"P09237"	"missing"
"5677"	"Q9BXB4"	"missing"
"5678"	"Q8NGJ7"	"missing"
"5679"	"Q8NFH3"	"missing"
"5680"	"Q7RTZ1"	"missing"
"5681"	"O15162"	"missing"
"5682"	"Q9UBF8"	"missing"
"5683"	"O75928"	"missing"
"5684"	"P0CG38"	"missing"
"5685"	"P86481"	"missing"
"5686"	"Q8N271"	"missing"
"5687"	"P06401"	"missing"
"5688"	"Q2TBC4"	"missing"
"5689"	"A3QJZ7"	"missing"
"5690"	"P22102"	"missing"
"5691"	"Q8N819"	"missing"
"5692"	"Q7RTY9"	"missing"
"5693"	"Q92932"	"missing"
"5694"	"P17812"	"missing"
"5696"	"Q9H0K6"	"missing"
"5697"	"Q5JQS6"	"missing"
"5698"	"Q6DN03"	"missing"
"5699"	"P10412"	"missing"
"5700"	"Q7Z2Y8"	"missing"
"5702"	"Q14526"	"missing"
"5703"	"Q7Z4V5"	"missing"
"5704"	"Q5TGS1"	"missing"
"5705"	"Q00613"	"missing"
"5706"	"P34932"	"missing"
"5707"	"Q5SSJ5"	"missing"
"5709"	"Q01581"	"missing"
"5710"	"Q86VS8"	"missing"
"5711"	"P52926"	"missing"
"5712"	"Q8IZT8"	"missing"
"5713"	"Q9UPZ3"	"missing"
"5714"	"Q7LGA3"	"missing"
"5715"	"Q8IVU1"	"missing"
"5716"	"P00738"	"missing"
"5717"	"Q9Y663"	"missing"
"5718"	"Q86VF2"	"missing"
"5719"	"Q5DX21"	"missing"
"5720"	"Q8NFM7"	"missing"
"5721"	"O95976"	"missing"
"5722"	"P60368"	"missing"
"5723"	"Q8WXH2"	"missing"
"5724"	"Q14953"	"missing"
"5725"	"Q9BYQ7"	"missing"
"5726"	"Q8IZU9"	"missing"
"5727"	"Q07627"	"missing"
"5728"	"O14782"	"missing"
"5729"	"Q14012"	"missing"
"5730"	"Q6UWP7"	"missing"
"5731"	"P07288"	"missing"
"5732"	"Q8TAF8"	"missing"
"5733"	"P11047"	"missing"
"5734"	"O43813"	"missing"
"5735"	"O94898"	"missing"
"5736"	"A6PVS8"	"missing"
"5737"	"Q9BYG3"	"missing"
"5738"	"Q9Y466"	"missing"
"5739"	"O95848"	"missing"
"5740"	"A6NND4"	"missing"
"5741"	"Q8IVL5"	"missing"
"5743"	"Q96QT6"	"missing"
"5745"	"Q9UNM6"	"missing"
"5746"	"O00231"	"missing"
"5747"	"Q8N2H3"	"missing"
"5748"	"Q8N1F7"	"missing"
"5749"	"O95948"	"missing"
"5750"	"P58182"	"missing"
"5751"	"Q56VL3"	"missing"
"5752"	"Q3SX64"	"missing"
"5753"	"Q8NGY7"	"missing"
"5754"	"Q96DC9"	"missing"
"5755"	"Q8NH79"	"missing"
"5756"	"Q14990"	"missing"
"5757"	"Q8NGP3"	"missing"
"5758"	"Q8NGV7"	"missing"
"5759"	"O95918"	"missing"
"5760"	"Q9H4D5"	"missing"
"5761"	"Q5VV17"	"missing"
"5762"	"Q96R48"	"missing"
"5764"	"P12004"	"missing"
"5766"	"P01127"	"missing"
"5767"	"O15350"	"missing"
"5768"	"P04085"	"missing"
"5769"	"Q9BYG4"	"missing"
"5770"	"Q2NL67"	"missing"
"5771"	"Q96TA0"	"missing"
"5772"	"A0A075B767"	"missing"
"5773"	"Q9UN70"	"missing"
"5774"	"Q9BY77"	"missing"
"5775"	"Q9Y5F7"	"missing"
"5776"	"Q12889"	"missing"
"5777"	"Q9Y5J5"	"missing"
"5778"	"Q96FC7"	"missing"
"5779"	"Q8N3S3"	"missing"
"5780"	"Q9H792"	"missing"
"5781"	"P43116"	"missing"
"5784"	"P35232"	"missing"
"5785"	"Q9UBV8"	"missing"
"5786"	"P13796"	"missing"
"5787"	"A1L4L8"	"missing"
"5788"	"Q9HAB8"	"missing"
"5789"	"Q9Y255"	"missing"
"5790"	"Q7Z6K3"	"missing"
"5791"	"P07988"	"missing"
"5792"	"Q15262"	"missing"
"5793"	"O14957"	"missing"
"5794"	"Q9UDW1"	"missing"
"5795"	"Q8N0Z8"	"missing"
"5796"	"Q15269"	"missing"
"5797"	"Q99638"	"missing"
"5798"	"Q92698"	"missing"
"5799"	"Q8NFH8"	"missing"
"5800"	"O94810"	"missing"
"5801"	"Q8NC44"	"missing"
"5802"	"Q9HD89"	"missing"
"5803"	"P41220"	"missing"
"5804"	"P49795"	"missing"
"5805"	"Q7Z5H3"	"missing"
"5806"	"Q9NWB1"	"missing"
"5807"	"Q14699"	"missing"
"5808"	"O14715"	"missing"
"5809"	"P48378"	"missing"
"5810"	"Q96K30"	"missing"
"5811"	"Q6P5R6"	"missing"
"5812"	"Q9HCI7"	"missing"
"5813"	"Q9Y623"	"missing"
"5814"	"P23409"	"missing"
"5815"	"Q8N1T3"	"missing"
"5816"	"Q9NVX2"	"missing"
"5817"	"Q9NZ94"	"missing"
"5818"	"A0A5F9ZHS7"	"missing"
"5819"	"Q99608"	"missing"
"5821"	"O94916"	"missing"
"5822"	"Q9BU61"	"missing"
"5823"	"Q08J23"	"missing"
"5824"	"O60462"	"missing"
"5825"	"O95478"	"missing"
"5826"	"P61970"	"missing"
"5827"	"P49757"	"missing"
"5828"	"O75469"	"missing"
"5829"	"Q9UHY1"	"missing"
"5830"	"Q8NGJ3"	"missing"
"5831"	"Q8NGT0"	"missing"
"5832"	"Q8NGC1"	"missing"
"5833"	"Q9P242"	"missing"
"5834"	"Q8NGB2"	"missing"
"5835"	"Q9NZQ7"	"missing"
"5836"	"Q7Z3H0"	"missing"
"5837"	"A5PLL7"	"missing"
"5838"	"Q6NSJ2"	"missing"
"5839"	"Q96JS3"	"missing"
"5840"	"O00398"	"missing"
"5841"	"O14813"	"missing"
"5842"	"Q13519"	"missing"
"5843"	"Q9NPJ4"	"missing"
"5844"	"P08567"	"missing"
"5845"	"P11908"	"missing"
"5846"	"P25788"	"missing"
"5848"	"H0Y7S4"	"missing"
"5849"	"Q86XI6"	"missing"
"5850"	"P26678"	"missing"
"5851"	"P49683"	"missing"
"5852"	"P51888"	"missing"
"5853"	"P28062"	"missing"
"5854"	"P16471"	"missing"
"5855"	"Q9NZH4"	"missing"
"5856"	"Q12923"	"missing"
"5857"	"Q6ISU1"	"missing"
"5858"	"Q7Z5A4"	"missing"
"5859"	"Q9H974"	"missing"
"5860"	"P14927"	"missing"
"5861"	"Q16769"	"missing"
"5863"	"Q8IUH3"	"missing"
"5864"	"Q6XE24"	"missing"
"5865"	"Q14206"	"missing"
"5866"	"P54725"	"missing"
"5867"	"P61576"	"missing"
"5868"	"Q9UL26"	"missing"
"5869"	"P49792"	"missing"
"5870"	"Q8IXT5"	"missing"
"5871"	"P0C0E4"	"missing"
"5872"	"Q9Y3P9"	"missing"
"5873"	"Q9BZG1"	"missing"
"5874"	"Q96G25"	"missing"
"5875"	"Q8IYU8"	"missing"
"5876"	"Q7Z7M0"	"missing"
"5877"	"A8MV57"	"missing"
"5878"	"Q9H8S9"	"missing"
"5879"	"P30304"	"missing"
"5880"	"Q96LU7"	"missing"
"5881"	"O43347"	"missing"
"5882"	"Q13330"	"missing"
"5883"	"Q15788"	"missing"
"5884"	"Q9Y6Q9"	"missing"
"5886"	"P52961"	"missing"
"5887"	"Q93070"	"missing"
"5889"	"Q9Y5X5"	"missing"
"5890"	"Q92982"	"missing"
"5891"	"Q5JS37"	"missing"
"5892"	"Q8NA29"	"missing"
"5893"	"Q8NEJ9"	"missing"
"5894"	"Q9NQR4"	"missing"
"5895"	"Q96E22"	"missing"
"5896"	"Q8IXH7"	"missing"
"5897"	"Q8WTT2"	"missing"
"5898"	"P58400"	"missing"
"5899"	"P0C646"	"missing"
"5900"	"Q8NH02"	"missing"
"5901"	"Q8NGJ2"	"missing"
"5902"	"Q8NGI8"	"missing"
"5903"	"Q9NZT2"	"missing"
"5904"	"Q8NH76"	"missing"
"5905"	"Q8NGF1"	"missing"
"5907"	"P41231"	"missing"
"5908"	"Q16513"	"missing"
"5909"	"Q9HBL7"	"missing"
"5910"	"O43172"	"missing"
"5911"	"A8MZF0"	"missing"
"5912"	"O95084"	"missing"
"5914"	"Q9Y248"	"missing"
"5915"	"Q13127"	"missing"
"5916"	"Q969G6"	"missing"
"5917"	"P40937"	"missing"
"5918"	"Q6ZVN8"	"missing"
"5919"	"Q52LW3"	"missing"
"5920"	"O75154"	"missing"
"5921"	"Q9P227"	"missing"
"5922"	"Q9UNA1"	"missing"
"5923"	"P18621"	"missing"
"5924"	"A0PJZ3"	"missing"
"5925"	"Q8TAA5"	"missing"
"5926"	"Q96MB7"	"missing"
"5927"	"Q9NZM3"	"missing"
"5928"	"Q6ZMT4"	"missing"
"5929"	"P43630"	"missing"
"5930"	"P17612"	"missing"
"5931"	"O95279"	"missing"
"5932"	"Q9P0J7"	"missing"
"5933"	"Q9H9L4"	"missing"
"5934"	"B7U540"	"missing"
"5935"	"Q6PID8"	"missing"
"5936"	"Q14722"	"missing"
"5937"	"Q6ZMR3"	"missing"
"5938"	"A0A0C4DH69"	"missing"
"5939"	"Q53QV2"	"missing"
"5941"	"Q9BYE3"	"missing"
"5942"	"Q8N370"	"missing"
"5943"	"Q5TA77"	"missing"
"5944"	"Q9UK45"	"missing"
"5945"	"Q9H089"	"missing"
"5946"	"Q9NPC1"	"missing"
"5947"	"Q7Z5D8"	"missing"
"5948"	"Q9Y561"	"missing"
"5949"	"P11150"	"missing"
"5950"	"Q96KN1"	"missing"
"5951"	"Q9BTT6"	"missing"
"5952"	"Q8N5I3"	"missing"
"5953"	"Q9H9Z2"	"missing"
"5954"	"P18054"	"missing"
"5955"	"Q9BU23"	"missing"
"5956"	"O75145"	"missing"
"5957"	"Q9UIS9"	"missing"
"5958"	"Q8IZL2"	"missing"
"5959"	"Q12852"	"missing"
"5960"	"Q5SRI9"	"missing"
"5961"	"O75121"	"missing"
"5962"	"P26572"	"missing"
"5963"	"Q5SR56"	"missing"
"5964"	"P21757"	"missing"
"5966"	"Q6P444"	"missing"
"5967"	"P52948"	"missing"
"5968"	"Q9H342"	"missing"
"5969"	"Q9H6K5"	"missing"
"5970"	"P57054"	"missing"
"5971"	"Q6PEW0"	"missing"
"5972"	"Q86XR5"	"missing"
"5973"	"Q9UKN5"	"missing"
"5974"	"Q13162"	"missing"
"5975"	"P10586"	"missing"
"5976"	"Q08257"	"missing"
"5977"	"Q9UJV8"	"missing"
"5978"	"W6CW81"	"missing"
"5979"	"Q9H0Z9"	"missing"
"5980"	"Q6ZP01"	"missing"
"5981"	"Q96AH8"	"missing"
"5983"	"A6NED2"	"missing"
"5984"	"Q92804"	"missing"
"5985"	"Q09028"	"missing"
"5986"	"Q13615"	"missing"
