string_id	string_id_alias	uniprot_alias
150	4932.YBL022C	PIM1	LONM
151	4932.YBL023C	MCM2	MCM2
152	4932.YBL024W	TRM4	TRM4
153	4932.YBL025W	RRN10	RRN10
154	4932.YBL026W	LSM2	LSM2
155	4932.YBL027W	RPL23A	YL14A
156	4932.YBL028C	YBL028C	YBC8
157	4932.YBL029C-A	YBL029C-A	YB029
158	4932.YBL029W	YBL029W	YBC9
159	4932.YBL030C	PET9	OP1
160	4932.YBL031W	SHE1	SHE1
161	4932.YBL032W	HEK2	HEK2
162	4932.YBL033C	RIB1	RIB1
163	4932.YBL034C	STU1	STU1
164	4932.YBL035C	POL12	DPOA2
165	4932.YBL036C	YBL036C	PLPHP
166	4932.YBL037W	APL3	AP2A
167	4932.YBL038W	MRPL16	RM16
168	4932.YBL039C	URA7	URA7
169	4932.YBL039W-B	YBL039W-B	YB39B
170	4932.YBL040C	ERD2	ERD2
171	4932.YBL041W	PRS3	PSB6
172	4932.YBL042C	FUI1	FUI1
173	4932.YBL043W	ECM13	ECM13
174	4932.YBL044W	YBL044W	YBE4
175	4932.YBL045C	QCR1	QCR1
176	4932.YBL046W	PSY4	PP4R2
177	4932.YBL047C	EDE1	EDE1
178	4932.YBL048W	RRT1	RRT1
179	4932.YBL049W	MOH1	MOH1
180	4932.YBL050W	SEC17	SEC17
181	4932.YBL051C	PIN4	PIN4
182	4932.YBL052C	SAS3	SAS3
183	4932.YBL053W	YBL053W	YBF3
184	4932.YBL054W	TOD6	TOD6
185	4932.YBL055C	YBL055C	YBF5
186	4932.YBL056W	PTC3	PP2C3
187	4932.YBL057C	PTH2	PTH2
188	4932.YBL058W	SHP1	UBX1
189	4932.YBL059C-A	CMC2	COXM2
190	4932.YBL059W	YBL059W	YBF9
191	4932.YBL060W	YEL1	YEL1
192	4932.YBL061C	SKT5	SKT5
193	4932.YBL062W	YBL062W	YBG2
194	4932.YBL063W	KIP1	KIP1
195	4932.YBL064C	PRX1	PRX1
196	4932.YBL065W	YBL065W	YBG5
197	4932.YBL066C	SEF1	SEF1
198	4932.YBL067C	UBP13	UBP13
199	4932.YBL068W	YBL068W	PRS4
200	4932.YBL068W-A	YBL068W-A	YB068
201	4932.YBL069W	YBL068W-A	YB068
202	4932.YBL071C	YBL071C	YBH1
203	4932.YBL071W-A	KTI11	DPH3
204	4932.YBL072C	YS9	YS9
205	4932.YBL073W	YBL073W	YBH3
206	4932.YBL074C	AAR2	AAR2
207	4932.YBL075C	SSA3	HSP73
208	4932.YBL076C	ILS1	SYIC
209	4932.YBL077W	YBL077W	YBH7
210	4932.YBL078C	ATG8	ATG8
211	4932.YBL079W	NUP170	NU170
212	4932.YBL080C	PET112	GATB
213	4932.YBL081W	YBL081W	YBI1
214	4932.YBL082C	ALG3	ALG3
215	4932.YBL083C	YBL083C	YBI3
216	4932.YBL084C	CDC27	CDC27
217	4932.YBL085W	BOI1	BOB1
218	4932.YBL086C	YBL086C	YBI6
219	4932.YBL087C	RPL23B	YL32
220	4932.YBL088C	TEL1	ATM
221	4932.YBL089W	AVT5	AVT5
222	4932.YBL090W	MRP21	RT21
223	4932.YBL091C	MAP2	MAP2
224	4932.YBL091C-A	SCS22	SCS22
225	4932.YBL092W	RPL32	RL32
226	4932.YBL093C	ROX3	MED19
227	4932.YBL094C	YBL094C	YBJ4
228	4932.YBL095W	MRX3	MRX3
229	4932.YBL096C	YBL096C	YBJ6
230	4932.YBL097W	BRN1	CND2
231	4932.YBL098W	BNA4	KMO
232	4932.YBL099W	ATP1	ATPA
233	4932.YBL100C	YBL100C	YBK0
234	4932.YBL100W-A	YBL100W-A	YB21A
235	4932.YBL100W-B	YBL100W-B	YB21B
236	4932.YBL101C	ECM21	ECM21
237	4932.YBL102W	SFT2	SFT2
238	4932.YBL103C	RTG3	RTG3
239	4932.YBL104C	SEA4	SEA4
240	4932.YBL105C	PKC1	KPC1
241	4932.YBL106C	SRO77	SRO77
242	4932.YBL107C	MIX23	MIX23
243	4932.YBL108C-A	PAU9	PAU9
244	4932.YBL108W	YBL108W	YBK8
245	4932.YBL109W	YBL109W	YB109
246	4932.YBL111C	YBL111C	YB111
247	4932.YBL112C	YBL112C	YB112
248	4932.YBL113C	YBL113C	YB113
249	4932.YBR001C	NTH2	TREB
250	4932.YBR002C	RER2	RER2
251	4932.YBR003W	COQ1	COQ1
252	4932.YBR004C	GPI18	GPI18
253	4932.YBR005W	RCR1	RCR1
254	4932.YBR007C	DSF2	DSF2
255	4932.YBR008C	FLR1	FLR1
256	4932.YBR009C	HHF2	H4
257	4932.YBR010W	HHT2	H3
258	4932.YBR011C	PPA	PPA
259	4932.YBR012C	YBR012C	YBM2
260	4932.YBR012W-A	YBR012W-A	YB12A
261	4932.YBR012W-B	YBR012W-B	YB12B
262	4932.YBR013C	YBR013C	YBM3
263	4932.YBR014C	GRX7	GLRX7
264	4932.YBR015C	MNN2	MNN2
265	4932.YBR016W	YBR016W	YBM6
266	4932.YBR017C	KAP104	TRN
