string_id	string_symbol	uniprot_symbol	uniprot_alias	string_id_alias
97	9606.ENSP00000056217	NA	NA	TIM	TIM1
98	9606.ENSP00000056233	NA	NA	NRF3	NRF3
99	9606.ENSP00000061240	NA	NA	TLL1	TLL1
100	9606.ENSP00000062104	NA	NA	NNAT	NNAT
101	9606.ENSP00000064571	NA	NA	CBLN4	CBLN4
102	9606.ENSP00000064724	NA	NA	OSP	OSP
103	9606.ENSP00000064778	NA	NA	9606.ENSP00000064778	NA
104	9606.ENSP00000064780	NA	NA	RELT	9606.ENSP00000064780
105	9606.ENSP00000070846	NA	NA	PKP2	PKP2
106	9606.ENSP00000072644	NA	NA	YIPF1	YIPF1
107	9606.ENSP00000072869	NA	NA	ADCK2	ADCK2
108	9606.ENSP00000074304	NA	NA	INPP4A	9606.ENSP00000074304
109	9606.ENSP00000075120	NA	NA	SLC2A3	9606.ENSP00000075120
110	9606.ENSP00000075503	NA	NA	STYK1	STYK1
111	9606.ENSP00000078429	NA	NA	GNA11	HHC2
112	9606.ENSP00000078445	NA	NA	CREB3L3	9606.ENSP00000078445
113	9606.ENSP00000080059	NA	NA	HDAC7	HDAC7
114	9606.ENSP00000081029	NA	NA	MRPS35	9606.ENSP00000081029
115	9606.ENSP00000083182	NA	NA	APPBP2	PAT1
116	9606.ENSP00000084798	NA	NA	CA11	CA11
117	9606.ENSP00000085068	NA	NA	ISOC2	ISOC2
118	9606.ENSP00000085219	NA	NA	CD22	CD22
119	9606.ENSP00000086933	NA	NA	GSC2	GSC2
120	9606.ENSP00000155840	NA	NA	KCNQ1	KCNQ1
121	9606.ENSP00000155858	NA	NA	TRPM5	TRPM5
122	9606.ENSP00000155926	NA	NA	TRIB2	TRIB2
123	9606.ENSP00000156084	NA	NA	OTUD5	OTUD5
124	9606.ENSP00000156109	NA	NA	GPKOW	GPKOW
125	9606.ENSP00000156471	NA	NA	AQR	AQR
126	9606.ENSP00000156626	NA	NA	ST6GALNAC1	9606.ENSP00000156626
127	9606.ENSP00000157600	NA	NA	LMCD1	LMCD1
128	9606.ENSP00000157812	NA	NA	S6	S6
129	9606.ENSP00000158009	NA	NA	FNDC8	FNDC8
130	9606.ENSP00000158166	NA	NA	CAMKK1	9606.ENSP00000158166
131	9606.ENSP00000158762	NA	NA	ACAP1	ACAP1
132	9606.ENSP00000158771	NA	NA	DERL2	DERL2
133	9606.ENSP00000159060	NA	NA	NOX3	NOX3
134	9606.ENSP00000159087	NA	NA	ANO8	ANO8
135	9606.ENSP00000159111	NA	NA	KDM4B	KDM4B
136	9606.ENSP00000160262	NA	NA	ICAM3	ICAM3
137	9606.ENSP00000160373	NA	NA	CTTNBP2	9606.ENSP00000160373
138	9606.ENSP00000160382	NA	NA	ACTL6B	9606.ENSP00000160382
139	9606.ENSP00000160827	NA	NA	OBP	OBP
140	9606.ENSP00000161006	NA	NA	BSSP4	PRSS22
141	9606.ENSP00000161559	NA	NA	CEACAM1	BGP1
142	9606.ENSP00000161863	NA	NA	YTHDC2	9606.ENSP00000161863
143	9606.ENSP00000162044	NA	NA	TMEM161A	9606.ENSP00000162044
144	9606.ENSP00000162391	NA	NA	FOXJ2	FOXJ2
145	9606.ENSP00000162749	NA	NA	TNFRSF1A	TBP1
146	9606.ENSP00000163416	NA	NA	GOLGA5	9606.ENSP00000163416
147	9606.ENSP00000164024	NA	NA	CELSR3	9606.ENSP00000164024
148	9606.ENSP00000164133	NA	NA	PPP2R5B	9606.ENSP00000164133
149	9606.ENSP00000164139	NA	NA	PYGM	PYGM
150	9606.ENSP00000164227	NA	NA	HGNC:998	BCL3
151	9606.ENSP00000164305	NA	NA	PIGB	PIGB
152	9606.ENSP00000164640	NA	NA	PDZD4	PDZD4
153	9606.ENSP00000165524	NA	NA	PRLH	PRRP
154	9606.ENSP00000166139	NA	NA	FSTL3	FSTL3
155	9606.ENSP00000166244	NA	NA	EPHA8	EPHA8
156	9606.ENSP00000166345	NA	NA	TRIP13	PCH2
157	9606.ENSP00000167106	NA	NA	VASH1	VASH1
158	9606.ENSP00000167586	NA	NA	KRT14	K14
159	9606.ENSP00000167588	NA	NA	KRT20	K20
160	9606.ENSP00000168148	NA	NA	SPP2	SPP24
161	9606.ENSP00000168216	NA	NA	HSD17B10	HCD2
